heuristic,points,jaccard_index,time,exceptions
CuttingSmallerAngle,115,0.10712717446377301,70486,false
CuttingSmallerAngle,120,0.009946888192836715,35486,false
CuttingSmallerAngle,125,0.07232262545019946,54402,false
CuttingSmallerAngle,130,0.0051594410605517735,52063,false
CuttingSmallerAngle,135,0.00582156653063006,59446,false
CuttingSmallerAngle,140,0.001656442048808387,55815,false
CuttingSmallerAngle,145,6.521470254224901E-4,39485,false
CuttingSmallerAngle,150,2.858053665453826E-4,56567,false
CuttingSmallerAngle,155,0.0023546257258770186,34388,false
CuttingSmallerAngle,160,0.0043162727715126,28431,false
CuttingSmallerAngle,165,0.0017388392977681297,28065,false
CuttingSmallerAngle,170,0.03271679524119342,39084,false
CuttingSmallerAngle,175,0.007483717927860318,43334,false
CuttingSmallerAngle,180,0.02171663270916206,65728,false
CuttingSmallerAngle,185,0.0013877619540583644,61709,false
CuttingSmallerAngle,190,0.014894936048029234,135849,false
CuttingSmallerAngle,195,7.272727272727272E-4,59001,false
CuttingSmallerAngle,200,0.002167720856197378,220717,false
CuttingSmallerAngle2,10,0.4368059289677515,192979,false
CuttingSmallerAngle2,15,0.052308205026747726,78769,false
CuttingSmallerAngle2,20,0.07799663969137344,106509,false
CuttingSmallerAngle2,25,0.0038646316850954442,110227,false
CuttingSmallerAngle2,30,0.0011904717450992744,122358,false
CuttingSmallerAngle2,35,0.0135780311720638,70204,false
CuttingSmallerAngle2,40,0.0,416297,false
CuttingSmallerAngle2,45,1.5500137695654823E-7,131407,false
CuttingSmallerAngle2,50,1.9132897134600934E-7,226444,false
CuttingSmallerAngle2,55,0.0,225532,false
CuttingSmallerAngle2,60,0.0193965020446003,142197,false
CuttingSmallerAngle2,65,null,null,true
CuttingLargerAngle,10,0.6649467808930426,121945,false
CuttingLargerAngle,15,0.7477968222464323,56475,false
CuttingLargerAngle,20,0.6875643364094415,59997,false
CuttingLargerAngle,25,0.8426034556313993,119177,false
CuttingLargerAngle,30,0.6818999640158331,189165,false
CuttingLargerAngle,35,0.9143902685705354,36162,false
CuttingLargerAngle,40,0.887615161167226,47615,false
CuttingLargerAngle,45,0.8370989399587994,86135,false
CuttingLargerAngle,50,0.7477162064755292,135655,false
CuttingLargerAngle,55,0.6895502760767787,61677,false
CuttingLargerAngle,60,0.8291003384306844,65858,false
CuttingLargerAngle,65,0.8163906254629493,70422,false
CuttingLargerAngle,70,0.7971359502365826,68928,false
CuttingLargerAngle,75,0.837742966416933,210211,false
CuttingLargerAngle,80,0.7138623595505618,75960,false
CuttingLargerAngle,85,0.8700184086725302,104783,false
CuttingLargerAngle,90,0.8198842054799572,85256,false
CuttingLargerAngle,95,0.8060081018753339,76051,false
CuttingLargerAngle,100,0.8495518745529265,65754,false
CuttingLargerAngle,105,0.8896949757822441,339638,false
CuttingLargerAngle,110,0.7932504182122336,153836,false
CuttingLargerAngle,115,0.8792143541748887,84031,false
CuttingLargerAngle,120,0.8591290733761915,80973,false
