heuristic,points,hyperplane_budget,jaccard_index,time,exceptions,regularity
CuttingEdges,6,3,0.9092918768170911,227547,false,53
LessArea,6,3,0.9119987646113735,533872,false,53
CuttingLargerAngle2,6,4,0.952445054104705,57340,false,53
DistanceFromG,6,4,0.9056088031929844,134272,false,53
CuttingEdges,6,4,0.9743835527768308,83362,false,53
LessArea,6,4,0.9407679822507393,414363,false,53
CuttingLargerAngle2,6,5,0.9920488358520314,48235,false,53
DistanceFromG,6,5,0.991153240766766,167506,false,53
CuttingEdges,6,5,0.9950009438777294,49508,false,53
LessArea,6,5,0.9595408643154106,331917,false,53
CuttingLargerAngle2,6,3,0.553646253915175,47927,false,22
DistanceFromG,6,3,0.43322623729009796,55373,false,22
CuttingEdges,6,3,0.28257200485561235,70011,false,22
LessArea,6,3,0.4119528534916277,231334,false,22
CuttingLargerAngle2,6,4,0.9192580797441465,42630,false,22
DistanceFromG,6,4,0.9152080516376597,163371,false,22
CuttingEdges,6,4,0.9300716908161053,99878,false,22
LessArea,6,4,0.4634319627348804,483091,false,22
CuttingLargerAngle2,6,5,0.9983302054646391,71115,false,22
DistanceFromG,6,5,0.9992639731391546,220180,false,22
CuttingEdges,6,5,0.9983302054646391,47491,false,22
LessArea,6,5,0.6335135658653333,240167,false,22
CuttingLargerAngle2,7,3,0.6235347980973146,56515,false,45
DistanceFromG,7,3,0.09973032107057447,111850,false,45
CuttingEdges,7,3,0.755881713120486,88160,false,45
LessArea,7,3,0.0,441925,false,45
CuttingLargerAngle2,7,4,0.7902067013812712,76948,false,45
DistanceFromG,7,4,0.7124612018521346,109084,false,45
CuttingEdges,7,4,0.8923662177631775,91934,false,45
LessArea,7,4,0.8212628220035253,471993,false,45
CuttingLargerAngle2,7,5,0.9277081902801462,67421,false,45
DistanceFromG,7,5,0.91895639342594,352452,false,45
CuttingEdges,7,5,0.9838102496688832,84498,false,45
LessArea,7,5,0.9838102496688832,779672,false,45
CuttingLargerAngle2,7,6,0.9916141624665782,85944,false,45
DistanceFromG,7,6,0.9267923472243423,595774,false,45
CuttingEdges,7,6,0.9962206800118625,95684,false,45
LessArea,7,6,0.9875086255370323,891221,false,45
CuttingLargerAngle2,7,3,0.5720446405201269,85340,false,43
DistanceFromG,7,3,0.45188567961983084,60685,false,43
CuttingEdges,7,3,0.6681591920791625,195320,false,43
LessArea,7,3,0.0,551175,false,43
CuttingLargerAngle2,7,4,0.8284445113005254,126492,false,43
DistanceFromG,7,4,0.7096457820767753,270424,false,43
CuttingEdges,7,4,0.8634613840101117,124754,false,43
LessArea,7,4,0.3570860436116073,714911,false,43
CuttingLargerAngle2,7,5,0.944118641015404,83793,false,43
DistanceFromG,7,5,0.9408412254389809,272447,false,43
CuttingEdges,7,5,0.979434333469644,81583,false,43
LessArea,7,5,0.7444996266151765,772134,false,43
CuttingLargerAngle2,7,6,0.957971904435842,191440,false,43
DistanceFromG,7,6,0.9837720332985069,520202,false,43
CuttingEdges,7,6,0.9974128453718436,69374,false,43
LessArea,7,6,0.9974128453718436,693721,false,43
CuttingLargerAngle2,7,3,0.4728767968487531,85837,false,52
DistanceFromG,7,3,0.4946443704042908,74995,false,52
CuttingEdges,7,3,0.46169110880454295,149042,false,52
LessArea,7,3,0.4289583055737034,322526,false,52
CuttingLargerAngle2,7,4,0.724507053174621,62567,false,52
DistanceFromG,7,4,0.5762499539442172,134172,false,52
CuttingEdges,7,4,0.8051091305902994,91416,false,52
LessArea,7,4,0.7660569763839898,516242,false,52
CuttingLargerAngle2,7,5,0.9890718453344628,189151,false,52
DistanceFromG,7,5,0.7818692857932384,267570,false,52
CuttingEdges,7,5,0.9961402254782179,87723,false,52
LessArea,7,5,0.7677482795489912,588958,false,52
CuttingLargerAngle2,7,6,0.9961427498358633,59412,false,52
DistanceFromG,7,6,0.9926837099380484,416524,false,52
CuttingEdges,7,6,0.9986708932990714,72058,false,52
LessArea,7,6,0.9986708932990714,382864,false,52
CuttingLargerAngle2,7,3,0.6937616230287018,64535,false,76
DistanceFromG,7,3,0.7175843788004023,68756,false,76
CuttingEdges,7,3,0.8710377308417788,275153,false,76
LessArea,7,3,0.8703404567743861,668945,false,76
CuttingLargerAngle2,7,4,0.8508915679486454,188281,false,76
DistanceFromG,7,4,0.8206499707813232,89774,false,76
CuttingEdges,7,4,0.9281625705220466,107242,false,76
LessArea,7,4,0.8848483910136126,453108,false,76
CuttingLargerAngle2,7,5,0.9065185902812454,70130,false,76
DistanceFromG,7,5,0.9167188742122803,130751,false,76
CuttingEdges,7,5,0.9811706688899207,46525,false,76
LessArea,7,5,0.9291814355663416,248003,false,76
CuttingLargerAngle2,7,6,0.9961197141290754,40995,false,76
DistanceFromG,7,6,0.9969254581541167,352787,false,76
CuttingEdges,7,6,0.9988586943053157,55228,false,76
LessArea,7,6,0.9821156627237536,260953,false,76
CuttingLargerAngle2,7,3,0.6478652101277548,72597,false,62
DistanceFromG,7,3,0.25580318899052146,57215,false,62
CuttingEdges,7,3,0.6022766333671759,96678,false,62
LessArea,7,3,0.0,682876,false,62
CuttingLargerAngle2,7,4,0.9070477165320143,74296,false,62
DistanceFromG,7,4,0.5556484372841075,116347,false,62
CuttingEdges,7,4,0.9641902515511135,110894,false,62
LessArea,7,4,0.5909364464718043,530457,false,62
CuttingLargerAngle2,7,5,0.9748283860495462,66421,false,62
DistanceFromG,7,5,0.9715298311548346,130576,false,62
CuttingEdges,7,5,0.9844464331348204,47353,false,62
LessArea,7,5,0.9399169606876323,271938,false,62
CuttingLargerAngle2,7,6,0.9935533509296458,27130,false,62
DistanceFromG,7,6,0.9769945007875757,234937,false,62
CuttingEdges,7,6,0.9977047304609149,70167,false,62
LessArea,7,6,0.9886995505548796,276742,false,62
CuttingLargerAngle2,8,3,0.6908661962423037,52335,false,73
DistanceFromG,8,3,0.04422412498122277,41184,false,73
CuttingEdges,8,3,0.8506440107358206,114647,false,73
LessArea,8,3,0.0,404416,false,73
CuttingLargerAngle2,8,4,0.866999306592568,54898,false,73
DistanceFromG,8,4,0.760322467577988,86936,false,73
CuttingEdges,8,4,0.9468258216062717,89641,false,73
LessArea,8,4,0.8592787251275545,442568,false,73
CuttingLargerAngle2,8,5,0.9018069947981875,86658,false,73
DistanceFromG,8,5,0.9223373892143608,238733,false,73
CuttingEdges,8,5,0.9885702557700983,109329,false,73
LessArea,8,5,0.8857154173877207,413955,false,73
CuttingLargerAngle2,8,6,0.9650629808661727,41531,false,73
DistanceFromG,8,6,0.9632567222472586,401464,false,73
CuttingEdges,8,6,0.9939964482219492,45799,false,73
LessArea,8,6,0.889786071894274,388450,false,73
CuttingLargerAngle2,8,7,0.9956579076279215,32435,false,73
DistanceFromG,8,7,0.9978969505783386,547922,false,73
CuttingEdges,8,7,0.9989203502988401,33945,false,73
LessArea,8,7,0.9946504927474045,331605,false,73
CuttingLargerAngle2,8,3,0.4957665389201147,45634,false,79
DistanceFromG,8,3,0.519398147065928,34758,false,79
CuttingEdges,8,3,0.0438226589337458,84537,false,79
LessArea,8,3,0.0,435740,false,79
CuttingLargerAngle2,8,4,0.8096173329846222,63309,false,79
DistanceFromG,8,4,0.5451740339886393,72754,false,79
CuttingEdges,8,4,0.8757699077154474,103878,false,79
LessArea,8,4,3.07132997252307E-6,611604,false,79
CuttingLargerAngle2,8,5,0.9246426865667694,86107,false,79
DistanceFromG,8,5,0.7881125474337097,130432,false,79
CuttingEdges,8,5,0.9879755796876714,66083,false,79
LessArea,8,5,0.8614461469259036,400221,false,79
CuttingLargerAngle2,8,6,0.987197009235382,59952,false,79
DistanceFromG,8,6,0.8434823940095219,238379,false,79
CuttingEdges,8,6,0.9952723575840603,62632,false,79
LessArea,8,6,0.8647319113085522,367629,false,79
CuttingLargerAngle2,8,7,0.9974339361720309,23025,false,79
DistanceFromG,8,7,0.9111713691297132,423762,false,79
CuttingEdges,8,7,0.9995823380215193,29412,false,79
LessArea,8,7,0.9635878076567143,360755,false,79
CuttingLargerAngle2,8,3,0.6545426332610313,61302,false,63
DistanceFromG,8,3,0.12169203502126073,33668,false,63
CuttingEdges,8,3,0.8439934304711358,102795,false,63
LessArea,8,3,0.8436902664787851,417123,false,63
CuttingLargerAngle2,8,4,0.8143832877466082,62152,false,63
DistanceFromG,8,4,0.642036162266189,74891,false,63
CuttingEdges,8,4,0.9220436624623524,67837,false,63
LessArea,8,4,0.8935838746715145,568176,false,63
CuttingLargerAngle2,8,5,0.9181177975356515,69770,false,63
DistanceFromG,8,5,0.7601834736770042,200319,false,63
CuttingEdges,8,5,0.9730476084339658,78111,false,63
LessArea,8,5,0.9068014931585292,586134,false,63
CuttingLargerAngle2,8,6,0.9519182429958585,32495,false,63
DistanceFromG,8,6,0.8634444672645535,263406,false,63
CuttingEdges,8,6,0.989893147296067,60293,false,63
LessArea,8,6,0.9420446418338934,646069,false,63
CuttingLargerAngle2,8,7,0.9850449943308716,26443,false,63
DistanceFromG,8,7,0.9786403779010063,450781,false,63
CuttingEdges,8,7,0.9963818559290657,87379,false,63
LessArea,8,7,0.9828712115931089,559575,false,63
CuttingLargerAngle2,8,3,0.6907731649541171,39584,false,50
DistanceFromG,8,3,0.6718581498210462,46513,false,50
CuttingEdges,8,3,0.8124056038191683,83557,false,50
LessArea,8,3,0.0,341912,false,50
CuttingLargerAngle2,8,4,0.8710453249185187,36746,false,50
DistanceFromG,8,4,0.785232014753919,75048,false,50
CuttingEdges,8,4,0.9485482768302541,115986,false,50
LessArea,8,4,0.8189868159533331,509104,false,50
CuttingLargerAngle2,8,5,0.9838860599501358,69883,false,50
DistanceFromG,8,5,0.87820983698795,221555,false,50
CuttingEdges,8,5,0.9919698566870342,39939,false,50
LessArea,8,5,0.9586654032366153,369743,false,50
CuttingLargerAngle2,8,6,0.9922583095601684,44842,false,50
DistanceFromG,8,6,0.8837425566166013,243667,false,50
CuttingEdges,8,6,0.9967545131803117,35696,false,50
LessArea,8,6,0.9631527779737868,402161,false,50
CuttingLargerAngle2,8,7,0.9993674197755512,5685,false,50
DistanceFromG,8,7,0.9993674197755512,413902,false,50
CuttingEdges,8,7,0.9993674197755512,14115,false,50
LessArea,8,7,0.9993674197755512,381035,false,50
CuttingLargerAngle2,8,3,0.6474754430298875,35513,false,50
DistanceFromG,8,3,0.419635407975972,29818,false,50
CuttingEdges,8,3,0.6602871478132402,59404,false,50
LessArea,8,3,0.751836805076147,350978,false,50
CuttingLargerAngle2,8,4,0.7312602297192704,32769,false,50
DistanceFromG,8,4,0.6798243784415151,60302,false,50
CuttingEdges,8,4,0.8932845067767651,53083,false,50
LessArea,8,4,0.8506437922678001,369890,false,50
CuttingLargerAngle2,8,5,0.8698893371317062,48631,false,50
DistanceFromG,8,5,0.8056117553812782,160461,false,50
CuttingEdges,8,5,0.9507688548560359,41831,false,50
LessArea,8,5,0.8995727581971962,508921,false,50
CuttingLargerAngle2,8,6,0.9863851261890391,40063,false,50
DistanceFromG,8,6,0.8977817870849324,249282,false,50
CuttingEdges,8,6,0.9916894658674316,26078,false,50
LessArea,8,6,0.958275860757273,387027,false,50
CuttingLargerAngle2,8,7,0.9998071037937992,7399,false,50
DistanceFromG,8,7,0.9998071037937992,605005,false,50
CuttingEdges,8,7,0.9998071037937992,10279,false,50
LessArea,8,7,0.9998071037937992,414547,false,50
CuttingLargerAngle2,9,3,0.4439396350487796,55528,false,80
DistanceFromG,9,3,0.3060507166886061,35275,false,80
CuttingEdges,9,3,0.7428280838309951,84323,false,80
LessArea,9,3,0.7432687917937881,940708,false,80
CuttingLargerAngle2,9,4,0.7743777482870121,66549,false,80
DistanceFromG,9,4,0.5400166374140705,69053,false,80
CuttingEdges,9,4,0.8866363207091548,82100,false,80
LessArea,9,4,0.7473745787228797,839296,false,80
CuttingLargerAngle2,9,5,0.9530399903913661,47891,false,80
DistanceFromG,9,5,0.7629579859587539,163811,false,80
CuttingEdges,9,5,0.9772116905231812,68849,false,80
LessArea,9,5,0.7575760601701674,934020,false,80
CuttingLargerAngle2,9,6,0.9763270347460636,51228,false,80
DistanceFromG,9,6,0.8224687362878456,261482,false,80
CuttingEdges,9,6,0.9944816191262442,60761,false,80
LessArea,9,6,0.9049744859055636,921924,false,80
CuttingLargerAngle2,9,7,0.9912453659834167,38319,false,80
DistanceFromG,9,7,0.94885366388767,449706,false,80
CuttingEdges,9,7,0.9972527293746656,43884,false,80
LessArea,9,7,0.9773927000324575,833442,false,80
CuttingLargerAngle2,9,8,0.9975183000979289,24401,false,80
DistanceFromG,9,8,0.9927599824484423,716957,false,80
CuttingEdges,9,8,0.9988815580734778,30144,false,80
LessArea,9,8,0.9983693321803566,828810,false,80
CuttingLargerAngle2,9,3,0.640451319737943,51718,false,76
DistanceFromG,9,3,0.17820196397626425,26260,false,76
CuttingEdges,9,3,0.7877758490416881,98766,false,76
LessArea,9,3,0.7865729255105129,893024,false,76
CuttingLargerAngle2,9,4,0.7406099132133283,50621,false,76
DistanceFromG,9,4,0.7348238197762957,91113,false,76
CuttingEdges,9,4,0.9180337788428041,97138,false,76
LessArea,9,4,0.7980837673255662,1050350,false,76
CuttingLargerAngle2,9,5,0.9289348864306165,106137,false,76
DistanceFromG,9,5,0.8098513889618233,117803,false,76
CuttingEdges,9,5,0.9628092894798896,139303,false,76
LessArea,9,5,0.8086468765903452,898111,false,76
CuttingLargerAngle2,9,6,0.9668364516069299,42048,false,76
DistanceFromG,9,6,0.854916067146283,290178,false,76
CuttingEdges,9,6,0.9952014965103838,49623,false,76
LessArea,9,6,0.8435941883113628,799618,false,76
CuttingLargerAngle2,9,7,0.9973341700517641,29822,false,76
DistanceFromG,9,7,0.962234591888533,505746,false,76
CuttingEdges,9,7,0.9985514851516911,54968,false,76
LessArea,9,7,0.9942459175315992,926069,false,76
CuttingLargerAngle2,9,8,0.9980899349717279,23505,false,76
DistanceFromG,9,8,0.9974006196502652,692438,false,76
CuttingEdges,9,8,0.9996471734329054,29630,false,76
LessArea,9,8,0.9965215982908994,1027294,false,76
CuttingLargerAngle2,9,3,0.4632710853593287,68387,false,80
DistanceFromG,9,3,0.08257746478873239,50464,false,80
CuttingEdges,9,3,0.6702155689532582,75247,false,80
LessArea,9,3,0.0,870034,false,80
CuttingLargerAngle2,9,4,0.744289516512556,56248,false,80
DistanceFromG,9,4,0.3142957746478873,65823,false,80
CuttingEdges,9,4,0.9066834003703546,80360,false,80
LessArea,9,4,0.0,998797,false,80
CuttingLargerAngle2,9,5,0.9513133984426059,42509,false,80
DistanceFromG,9,5,0.3422159624413146,135554,false,80
CuttingEdges,9,5,0.9846889511922932,61518,false,80
LessArea,9,5,0.9089500668634228,804532,false,80
CuttingLargerAngle2,9,6,0.958792575045317,49333,false,80
DistanceFromG,9,6,0.7413521126760564,220306,false,80
CuttingEdges,9,6,0.9907848779414863,50144,false,80
LessArea,9,6,0.9127117904169445,762593,false,80
CuttingLargerAngle2,9,7,0.9826271481323997,51015,false,80
DistanceFromG,9,7,0.7469483568075117,448172,false,80
CuttingEdges,9,7,0.9955337994813389,41126,false,80
LessArea,9,7,0.9920037999227611,1043932,false,80
CuttingLargerAngle2,9,8,0.9952265041415836,27257,false,80
DistanceFromG,9,8,0.9851173708920188,735619,false,80
CuttingEdges,9,8,0.998176828048409,30950,false,80
LessArea,9,8,0.998176828048409,823161,false,80
CuttingLargerAngle2,9,3,0.4226774221076824,56643,false,78
DistanceFromG,9,3,0.04768727921027436,41599,false,78
CuttingEdges,9,3,0.4097116528559267,76082,false,78
LessArea,9,3,0.4060447804069065,764275,false,78
CuttingLargerAngle2,9,4,0.7982823602578827,46387,false,78
DistanceFromG,9,4,0.5493083297566773,57778,false,78
CuttingEdges,9,4,0.9591352842262599,65428,false,78
LessArea,9,4,0.5118736710639757,766973,false,78
CuttingLargerAngle2,9,5,0.9245072219499895,45944,false,78
DistanceFromG,9,5,0.9301330516028922,118555,false,78
CuttingEdges,9,5,0.9806955589382528,56320,false,78
LessArea,9,5,0.9620887347131949,877307,false,78
CuttingLargerAngle2,9,6,0.9678530490894417,79286,false,78
DistanceFromG,9,6,0.9363795437287464,333824,false,78
CuttingEdges,9,6,0.9875590572793667,51719,false,78
LessArea,9,6,0.9815556245937413,944140,false,78
CuttingLargerAngle2,9,7,0.9898583084725566,52415,false,78
DistanceFromG,9,7,0.9404140116874112,387918,false,78
CuttingEdges,9,7,0.993317148927007,46340,false,78
LessArea,9,7,0.9881783943066973,939589,false,78
CuttingLargerAngle2,9,8,0.9944738862427376,28056,false,78
DistanceFromG,9,8,0.9780250255868467,665653,false,78
CuttingEdges,9,8,0.9977975508265952,27620,false,78
LessArea,9,8,0.9917201184181728,784118,false,78
CuttingLargerAngle2,9,3,0.4800050416277104,82008,false,67
DistanceFromG,9,3,0.055840090264488225,30009,false,67
CuttingEdges,9,3,0.8300730839956225,86028,false,67
LessArea,9,3,0.8297285664045035,779577,false,67
CuttingLargerAngle2,9,4,0.6443968461518956,57862,false,67
DistanceFromG,9,4,0.28625789537726354,68278,false,67
CuttingEdges,9,4,0.9238309967121543,156595,false,67
LessArea,9,4,0.8399703266420208,921886,false,67
CuttingLargerAngle2,9,5,0.9473193446198211,100726,false,67
DistanceFromG,9,5,0.31855842302629395,118265,false,67
CuttingEdges,9,5,0.9688668337365264,184807,false,67
LessArea,9,5,0.8553543340173398,1049906,false,67
CuttingLargerAngle2,9,6,0.9494633302031965,100914,false,67
DistanceFromG,9,6,0.6320284067654118,239686,false,67
CuttingEdges,9,6,0.9861617140031457,85812,false,67
LessArea,9,6,0.8645471914632217,1030792,false,67
CuttingLargerAngle2,9,7,0.9719759083638123,25459,false,67
DistanceFromG,9,7,0.7878342053738343,386902,false,67
CuttingEdges,9,7,0.9952435999046962,30978,false,67
LessArea,9,7,0.9593277497824032,1321613,false,67
CuttingLargerAngle2,9,8,0.9780384730175937,22866,false,67
DistanceFromG,9,8,0.9936062654174179,678915,false,67
CuttingEdges,9,8,0.99933538838881,65336,false,67
LessArea,9,8,0.9707077509980406,1163073,false,67
CuttingLargerAngle2,10,3,0.4441714951004055,43602,false,55
DistanceFromG,10,3,0.07062088390009527,30687,false,55
CuttingEdges,10,3,0.484638947114932,88184,false,55
LessArea,10,3,6.326283155591102E-5,1546919,false,55
CuttingLargerAngle2,10,4,0.7526310455625268,51175,false,55
DistanceFromG,10,4,0.2616441618688647,63513,false,55
CuttingEdges,10,4,0.9095327543645388,62914,false,55
LessArea,10,4,0.6959150974860628,1503309,false,55
CuttingLargerAngle2,10,5,0.8271449871586007,62973,false,55
DistanceFromG,10,5,0.44360684256306177,117632,false,55
CuttingEdges,10,5,0.946300833751347,56212,false,55
LessArea,10,5,0.7876322642073698,1165645,false,55
CuttingLargerAngle2,10,6,0.8976358911818393,73268,false,55
DistanceFromG,10,6,0.4908047881373483,223474,false,55
CuttingEdges,10,6,0.970409546627809,52742,false,55
LessArea,10,6,0.9073938428725024,1199509,false,55
CuttingLargerAngle2,10,7,0.9203775926286598,49646,false,55
DistanceFromG,10,7,0.8411754960029822,499080,false,55
CuttingEdges,10,7,0.9840512892588863,39817,false,55
LessArea,10,7,0.9623847113274892,1412725,false,55
CuttingLargerAngle2,10,8,0.9519204023279783,70203,false,55
DistanceFromG,10,8,0.8867994863935716,778602,false,55
CuttingEdges,10,8,0.9930947451814889,35914,false,55
LessArea,10,8,0.9871452110706725,904967,false,55
CuttingLargerAngle2,10,9,0.9966128873207303,17621,false,55
DistanceFromG,10,9,0.9624891272832705,1210970,false,55
CuttingEdges,10,9,0.99842763724868,20005,false,55
LessArea,10,9,0.9962421053444511,641644,false,55
CuttingLargerAngle2,10,3,0.5772942540933574,38328,false,85
DistanceFromG,10,3,0.0021505264634228693,29897,false,85
CuttingEdges,10,3,0.806506108012555,58716,false,85
LessArea,10,3,1.8755067985739285E-4,632401,false,85
CuttingLargerAngle2,10,4,0.7265548752740361,40246,false,85
DistanceFromG,10,4,0.08019282015053686,77290,false,85
CuttingEdges,10,4,0.9478171393933228,67916,false,85
LessArea,10,4,0.8866008277635491,931649,false,85
CuttingLargerAngle2,10,5,0.8420737186224234,35675,false,85
DistanceFromG,10,5,0.14834476990925194,113586,false,85
CuttingEdges,10,5,0.9731468921724551,45405,false,85
LessArea,10,5,0.9460999167167399,719133,false,85
CuttingLargerAngle2,10,6,0.8751954979575992,39092,false,85
DistanceFromG,10,6,0.7885159809049872,247888,false,85
CuttingEdges,10,6,0.9840345310954058,38990,false,85
LessArea,10,6,0.9482830832275309,549586,false,85
CuttingLargerAngle2,10,7,0.95565371056666,25931,false,85
DistanceFromG,10,7,0.8772797398590211,408236,false,85
CuttingEdges,10,7,0.9915732858952404,33062,false,85
LessArea,10,7,0.9807114402834048,547111,false,85
CuttingLargerAngle2,10,8,0.9888803828779873,21678,false,85
DistanceFromG,10,8,0.8876168115068749,641096,false,85
CuttingEdges,10,8,0.9968826954332495,24566,false,85
LessArea,10,8,0.9894710411170585,591658,false,85
CuttingLargerAngle2,10,9,0.9904243675632365,18203,false,85
DistanceFromG,10,9,0.9620385328630572,1201511,false,85
CuttingEdges,10,9,0.999909068558012,31017,false,85
LessArea,10,9,0.99485156259219,974062,false,85
CuttingLargerAngle2,10,3,0.5499522120380406,42423,false,73
DistanceFromG,10,3,0.02822377903663728,30679,false,73
CuttingEdges,10,3,0.7258336885190347,74351,false,73
LessArea,10,3,0.7255746575773041,613114,false,73
CuttingLargerAngle2,10,4,0.7745679831057087,86779,false,73
DistanceFromG,10,4,0.6254361399670286,60508,false,73
CuttingEdges,10,4,0.8403401986471231,67291,false,73
LessArea,10,4,0.8119632496399989,719139,false,73
CuttingLargerAngle2,10,5,0.8533588799853568,34588,false,73
DistanceFromG,10,5,0.7146539981655458,112731,false,73
CuttingEdges,10,5,0.980778693225234,45946,false,73
LessArea,10,5,0.887513745797379,640609,false,73
